Length_Bytes,Alignment_Bytes,Alpha_Percent,Time_Serial_ns,Time_SIMD_ns
6492758,32,70,13630779,698137
6492758,32,80,9810722,567114
6492758,32,90,6417956,491964
6492758,32,100,3062904,499298
6492758,1,0,3494735,498320
6492758,1,10,6566578,491965
6492758,1,20,9883008,510751
6492758,1,30,13681763,474294
6492758,1,40,18845991,711826
6492758,1,50,20211535,499926
6492758,1,60,17871771,530238
6492758,1,70,13756633,597286
6492758,1,80,9849763,483304
6492758,1,90,6433670,681654
6492758,1,100,2998650,553286
8375245,32,0,4051861,687032
8375245,32,10,8247177,639400
8375245,32,20,12794635,372186
8375245,32,30,17927924,446567
8375245,32,40,23238261,449151
8375245,32,50,26514741,375888
8375245,32,60,23008412,392649
8375245,32,70,17404391,571514
8375245,32,80,12625199,372116
8375245,32,90,8299419,595540
8375245,32,100,3936832,410179
8375245,1,0,4231284,690384
8375245,1,10,8406487,643870
8375245,1,20,12724933,384339
8375245,1,30,17874914,393487
8375245,1,40,23189861,396072
8375245,1,50,26074808,416326
8375245,1,60,22859091,459768
8375245,1,70,17431071,378471
8375245,1,80,12587485,402148
8375245,1,90,8260098,423659
8375245,1,100,3866222,352560
